label,rank,feature,weight
体育,1,人数 近年,0.1658669399267288
体育,2,参赛,0.1658669399267288
体育,3,参赛 人数,0.1658669399267288
体育,4,恢复 报名,0.1658669399267288
体育,5,马拉松赛 恢复,0.1658669399267288
体育,6,马拉松赛,0.1658669399267288
体育,7,报名 参赛,0.1658669399267288
体育,8,近年,0.1658669399267288
体育,9,显著,0.14390424337464225
体育,10,热身赛,0.14390424337464225
体育,11,女篮,0.14390424337464225
体育,12,热身赛 大胜,0.14390424337464225
体育,13,对手,0.14390424337464225
体育,14,对手 外线,0.14390424337464225
体育,15,外线,0.14390424337464225
娱乐,1,采用,0.12307931715437957
娱乐,2,虚拟,0.12307931715437957
娱乐,3,虚拟 制作,0.12307931715437957
娱乐,4,采用 虚拟,0.12307931715437957
娱乐,5,沉浸,0.12307931715437957
娱乐,6,演唱会,0.12307931715437957
娱乐,7,技术 沉浸,0.12307931715437957
娱乐,8,线上,0.12307931715437957
娱乐,9,线上 演唱会,0.12307931715437957
娱乐,10,技术,0.12307931715437957
娱乐,11,演唱会 采用,0.12307931715437957
娱乐,12,制作,0.12307931715437957
娱乐,13,制作 技术,0.12307931715437957
娱乐,14,观众,0.12282402349490074
娱乐,15,音乐,0.12282402349490074
教育,1,高校,0.23272381770241457
教育,2,专业,0.23272381770241457
教育,3,强化 综合,0.14704954117393654
教育,4,改革方案 强化,0.14704954117393654
教育,5,素质,0.14704954117393654
教育,6,公布 中考,0.14704954117393654
教育,7,改革方案,0.14704954117393654
教育,8,素质 评价,0.14704954117393654
教育,9,综合 素质,0.14704954117393654
教育,10,评价,0.14704954117393654
教育,11,强化,0.14704954117393654
教育,12,中考,0.14704954117393654
教育,13,中考 改革方案,0.14704954117393654
教育,14,综合,0.14704954117393654
教育,15,高校 新增,0.1407337131543997
科技,1,模型,0.17179507792295545
科技,2,模型 模态,0.17179507792295545
科技,3,模态,0.17179507792295545
科技,4,模态 理解能力,0.17179507792295545
科技,5,理解能力,0.17179507792295545
科技,6,理解能力 增强,0.17179507792295545
科技,7,增强,0.17179507792295545
科技,8,国产 模型,0.17179507792295545
科技,9,国产,0.17179507792295545
科技,10,搭载 激光雷达,0.133300865134473
科技,11,智能 汽车,0.133300865134473
科技,12,智能,0.133300865134473
科技,13,搭载,0.133300865134473
科技,14,辅助,0.133300865134473
科技,15,激光雷达 辅助,0.133300865134473
财经,1,回升,0.13547818693354155
财经,2,回升 餐饮,0.13547818693354155
财经,3,商圈 客流,0.13547818693354155
财经,4,商圈,0.13547818693354155
财经,5,消费,0.13547818693354155
财经,6,消费 带动,0.13547818693354155
财经,7,带动 商圈,0.13547818693354155
财经,8,带动,0.13547818693354155
财经,9,客流 回升,0.13547818693354155
财经,10,客流,0.13547818693354155
财经,11,零售 恢复,0.13547818693354155
财经,12,餐饮,0.13547818693354155
财经,13,餐饮 零售,0.13547818693354155
财经,14,零售,0.13547818693354155
财经,15,宣布,0.1332487558817033
