,precision,recall,f1-score,support
100,0.3225806451612903,0.3225806451612903,0.3225806451612903,62.0
101,0.3952380952380952,0.3755656108597285,0.3851508120649652,221.0
102,0.48986486486486486,0.5141843971631206,0.5017301038062284,282.0
103,0.6238938053097345,0.6467889908256881,0.6351351351351351,218.0
104,0.4007220216606498,0.39501779359430605,0.3978494623655914,281.0
106,0.5074626865671642,0.53125,0.5190839694656488,128.0
107,0.5555555555555556,0.5531914893617021,0.5543710021321961,235.0
108,0.5351351351351351,0.518324607329843,0.526595744680851,191.0
109,0.4119318181818182,0.45741324921135645,0.4334828101644245,317.0
110,0.44495412844036697,0.4369369369369369,0.4409090909090909,222.0
112,0.4031413612565445,0.39285714285714285,0.3979328165374677,196.0
113,0.4219858156028369,0.4117647058823529,0.4168126094570928,289.0
114,0.0,0.0,0.0,11.0
115,0.4605263157894737,0.44871794871794873,0.45454545454545453,156.0
116,0.5738636363636364,0.5287958115183246,0.5504087193460491,191.0
accuracy,0.4686666666666667,0.4686666666666667,0.4686666666666667,0.4686666666666667
macro avg,0.43645705900847775,0.43555928862798277,0.4357725583847657,3000.0
weighted avg,0.46786823634405067,0.4686666666666667,0.4679825998110622,3000.0
