label,rank,feature,weight
100,1,成精,1.6910514923488074
100,2,婆婆,1.24642870039299
100,3,民间故事,1.0320334543438825
100,4,父亲,1.008861416832299
100,5,女儿,0.9238996795664853
100,6,相亲,0.9180019656570455
100,7,婆婆,0.8893038278267937
100,8,老人,0.8857992446077093
100,9,女人,0.8626897431675205
100,10,家庄,0.8363256987049998
100,11,夫妻,0.8252689599683107
100,12,没教养 什么样,0.8238803488026829
100,13,没教养,0.8238803488026829
100,14,事 ,0.8234504205467589
100,15,农民工,0.8154045645933029
101,1,下联,1.2668299070237752
101,2,传统,1.263927871531453
101,3,上联,1.0671935841525935
101,4,诗词,1.0199267403462746
101,5,汉字,0.9732873792687876
101,6,故宫,0.9732473218428745
101,7,书法,0.9676294421579295
101,8,下联,0.9433856830537664
101,9,作品,0.9045155710315603
101,10,昆曲,0.9000446996491492
101,11,可比性,0.8915671068905374
101,12,文化,0.8770827635193627
101,13,浪漫,0.8566773941014605
101,14,小说,0.8498164757972027
101,15,人物,0.8322086387482177
102,1,演员,1.5256483887527328
102,2,电影,1.2752330579549278
102,3,演员,1.187821531710113
102,4,电影,1.1045069279545487
102,5,女神,1.095260390847821
102,6,演技,1.0661835295509448
102,7,女星,1.0603516595540061
102,8,范冰冰,1.0359220755328806
102,9,气质,0.9904197466024844
102,10,复联,0.9509164286915017
102,11,谢娜,0.9312683083213182
102,12,明星,0.9145424595915994
102,13,现身,0.9014617859676292
102,14,鹿晗,0.8910347739640043
102,15,节目,0.884285217121529
103,1,火箭,1.6176020727047375
103,2,nba,1.5138018291896498
103,3,骑士,1.4807917816296776
103,4,球员,1.4489076533740286
103,5,联赛,1.3291209286061771
103,6,恒大,1.291503135219776
103,7,皇马,1.2325533637208868
103,8,比赛,1.2119142806463292
103,9,哈登,1.1696863950887098
103,10,火箭,1.1621038246883142
103,11,球队,1.140021712073553
103,12,詹姆斯,1.1285302905794647
103,13,骑士,1.1098962274735886
103,14,勇士,1.1052671833789187
103,15,联赛,1.09023885361608
104,1,股市,1.2145907374153464
104,2,美元,1.0254819169314322
104,3,公司,0.9752401738316302
