,precision,recall,f1-score,support
100,0.40077821011673154,0.4790697674418605,0.4364406779661017,215.0
101,0.5359565807327001,0.5366847826086957,0.5363204344874406,736.0
102,0.5571120689655172,0.5681318681318681,0.5625680087051143,910.0
103,0.7347767253044655,0.7079530638852672,0.7211155378486056,767.0
104,0.47729918509895225,0.42887029288702927,0.45179063360881544,956.0
106,0.5491990846681922,0.6349206349206349,0.588957055214724,378.0
107,0.6873315363881402,0.6447534766118836,0.6653620352250489,791.0
108,0.5696022727272727,0.6207430340557275,0.5940740740740741,646.0
109,0.5377268385864374,0.5169880624426079,0.5271535580524345,1089.0
110,0.5141643059490085,0.5069832402234636,0.510548523206751,716.0
112,0.48933143669985774,0.4963924963924964,0.49283667621776506,693.0
113,0.48676639815880324,0.46740331491712706,0.4768883878241263,905.0
114,0.35555555555555557,0.35555555555555557,0.35555555555555557,45.0
115,0.4686411149825784,0.5445344129554656,0.5037453183520599,494.0
116,0.6569678407350689,0.6509863429438544,0.6539634146341463,659.0
accuracy,0.5526,0.5526,0.5526,0.5526
macro avg,0.5347472769779521,0.5439980230649025,0.5384879927315176,10000.0
weighted avg,0.5540521642178166,0.5526,0.5526764777757761,10000.0
