,precision,recall,f1-score,support
100,0.29086538461538464,0.5627906976744186,0.38351822503961963,215.0
101,0.5194029850746269,0.47282608695652173,0.4950213371266003,736.0
102,0.5146022155085599,0.5615384615384615,0.5370467682606411,910.0
103,0.73006993006993,0.6805736636245111,0.7044534412955465,767.0
104,0.48360655737704916,0.4320083682008368,0.456353591160221,956.0
106,0.5223880597014925,0.6481481481481481,0.5785123966942148,378.0
107,0.6526458616010855,0.6080910240202275,0.6295811518324608,791.0
108,0.5441988950276243,0.6099071207430341,0.5751824817518248,646.0
109,0.5709382151029748,0.45821854912764004,0.5084055017829853,1089.0
110,0.49736842105263157,0.5279329608938548,0.5121951219512195,716.0
112,0.46780551905387646,0.5137085137085137,0.4896836313617607,693.0
113,0.5134788189987163,0.4419889502762431,0.4750593824228028,905.0
114,0.25555555555555554,0.5111111111111111,0.34074074074074073,45.0
115,0.45985401459854014,0.5101214574898786,0.4836852207293666,494.0
116,0.6786885245901639,0.6282245827010622,0.6524822695035462,659.0
accuracy,0.5357,0.5357,0.5357,0.5357
macro avg,0.5134312638618808,0.5444793130809642,0.5214614174435701,10000.0
weighted avg,0.5453332907853181,0.5357,0.5374263208871861,10000.0
