label,rank,feature,weight
100,1,婆婆,6.05475420042773
100,2,故事,5.135935964368097
100,3,民间故事,4.63818437899341
100,4,儿子,4.289188807688061
100,5,怀孕,4.252964950514088
100,6,孩子,4.112279927112547
100,7,男人,4.013689677687974
100,8,女人,3.9278893332412537
100,9,老公,3.896651390482364
100,10,父亲,3.8956389739990387
100,11,女子,3.874175851447505
100,12,男友,3.8255935994959946
100,13,离婚,3.739400914404737
100,14,老人,3.634432628372955
100,15,女儿,3.597679730366783
101,1,上联,7.575898113931403
101,2,下联,6.391368999549289
101,3,书法,5.10254527877691
101,4,文化,4.465023297060677
101,5,红楼梦,4.050976040707859
101,6,小说,3.792528133912974
101,7,诗词,3.6996522038734656
101,8,艺术,3.6176818123672363
101,9,作品,3.5926033130766304
101,10,古代,3.370470322681125
101,11,对联,2.8575013841439865
101,12,传统,2.7899209223410026
101,13,阅读,2.5732218635530533
101,14,孙悟空,2.416895363844652
101,15,汉字,2.394251353096481
102,1,网友,5.705786884080691
102,2,明星,4.858691117770364
102,3,导演,4.243795569153136
102,4,范冰冰,4.165591284328329
102,5,电影,4.1380842182651865
102,6,女星,3.996011092827852
102,7,娱乐圈,3.947650293149436
102,8,赵丽颖,3.882378260357414
102,9,演员,3.7760358949371966
102,10,戛纳,3.6180201389555204
102,11,出席,3.56614644429617
102,12,杨幂,3.4801281284472756
102,13,谢娜,3.4002580550106614
102,14,现身,3.2281182060566276
102,15,电视剧,3.1980567598528022
103,1,nba,6.4856198468168
103,2,詹姆斯,6.3599961522232125
103,3,球迷,5.51891367385873
103,4,比赛,5.48335539390945
103,5,火箭,5.457043859241083
103,6,球员,5.333415080239343
103,7,世界杯,5.161935442296787
103,8,勇士,4.877110546963034
103,9,中超,4.832082476597714
103,10,赛季,4.6543023799850465
103,11,骑士,4.566099035880335
103,12,皇马,4.530408932078518
103,13,联赛,4.515271384638903
103,14,保罗,4.345676592486785
103,15,哈登,4.248522390961882
104,1,比特,4.595423908670714
104,2,区块,4.1737176008418775
104,3,银行,4.1289239785239795
104,4,创业,3.8867028073025467
104,5,信用卡,3.86794531526463
104,6,企业,3.811708108522411
104,7,投资,3.7423300637707366
104,8,黄金,3.7200169669823135
104,9,余额,3.557258301387754
104,10,品牌,3.5020986715156517
104,11,经济,3.3629939171147734
104,12,市场,3.2644287986825433
104,13,融资,3.058157282778968
104,14,公司,3.025320184312279
104,15,巴菲特,2.8259628044372604
106,1,房价,9.961654735742412
106,2,买房,8.804124423590366
106,3,房子,6.8974154906961775
